architecture="Cloud_Rest"
stimulus,minresponsetime,maxresponsetime,averagetime,errorcount,totalreq,threads,averagelatency,minlatency,maxlatency,percentageerror,throughput
"Get Competitors","2158","70685","27491.744","0.0","600.0","68086","18593","1095","49699","0.0","8.755672"
"Add Competitors","324","13430","1572.5917","1.0","600.0","59135","1451","0","13260","0.0016666667","45.78056"
timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,grpThreads,allThreads,Latency
"1424738164261","32860","Get Competitors","200","OK","Thread Group 1-1","text","true","189","200","200","32858"
"1424738197385","5924","Add Competitors","200","OK","Thread Group 1-1","text","true","189","200","200","5914"
"1424738164263","39731","Get Competitors","200","OK","Thread Group 1-24","text","true","189","199","199","39728"
"1424738169060","35071","Get Competitors","200","OK","Thread Group 1-124","text","true","189","199","199","35069"
"1424738171269","32863","Get Competitors","200","OK","Thread Group 1-168","text","true","189","199","199","32862"
"1424738168111","36026","Get Competitors","200","OK","Thread Group 1-105","text","true","189","199","199","36025"
"1424738172271","31866","Get Competitors","200","OK","Thread Group 1-188","text","true","189","199","199","31858"
"1424738169715","34430","Get Competitors","200","OK","Thread Group 1-137","text","true","189","199","199","34419"
"1424738164263","39884","Get Competitors","200","OK","Thread Group 1-5","text","true","189","199","199","39883"
"1424738168211","35936","Get Competitors","200","OK","Thread Group 1-107","text","true","189","199","199","35935"
"1424738164263","39909","Get Competitors","200","OK","Thread Group 1-3","text","true","189","199","199","39908"
"1424738164984","39189","Get Competitors","200","OK","Thread Group 1-43","text","true","189","199","199","39188"
"1424738164261","39911","Get Competitors","200","OK","Thread Group 1-19","text","true","189","199","199","39882"
"1424738164264","39909","Get Competitors","200","OK","Thread Group 1-14","text","true","189","199","199","39908"
"1424738167160","37013","Get Competitors","200","OK","Thread Group 1-86","text","true","189","199","199","37012"
"1424738164263","39909","Get Competitors","200","OK","Thread Group 1-6","text","true","189","199","199","39907"
"1424738164261","39913","Get Competitors","200","OK","Thread Group 1-23","text","true","189","199","199","39910"
"1424738164933","39243","Get Competitors","200","OK","Thread Group 1-42","text","true","189","199","199","39242"
"1424738172222","31991","Get Competitors","200","OK","Thread Group 1-187","text","true","189","199","199","31990"
"1424738170778","33447","Get Competitors","200","OK","Thread Group 1-158","text","true","189","199","199","33435"
"1424738171520","32694","Get Competitors","200","OK","Thread Group 1-173","text","true","189","199","199","32693"
"1424738164263","39964","Get Competitors","200","OK","Thread Group 1-11","text","true","189","199","199","39963"
"1424738203995","2127","Add Competitors","200","OK","Thread Group 1-24","text","true","189","199","199","2126"
"1424738204228","1914","Add Competitors","200","OK","Thread Group 1-173","text","true","189","198","198","1913"
"1424738204138","2030","Add Competitors","200","OK","Thread Group 1-105","text","true","189","197","197","2029"
"1424738170920","35351","Get Competitors","200","OK","Thread Group 1-161","text","true","189","196","196","35349"
"1424738170615","35657","Get Competitors","200","OK","Thread Group 1-155","text","true","189","196","196","35657"
"1424738172620","33664","Get Competitors","200","OK","Thread Group 1-195","text","true","189","196","196","33662"
"1424738170720","35564","Get Competitors","200","OK","Thread Group 1-157","text","true","189","196","196","35564"
"1424738167561","38726","Get Competitors","200","OK","Thread Group 1-94","text","true","189","196","196","38724"
"1424738164264","42025","Get Competitors","200","OK","Thread Group 1-20","text","true","189","196","196","42021"
"1424738165084","41225","Get Competitors","200","OK","Thread Group 1-45","text","true","189","196","196","41224"
"1424738166811","39498","Get Competitors","200","OK","Thread Group 1-79","text","true","189","196","196","39478"
"1424738172520","33804","Get Competitors","200","OK","Thread Group 1-193","text","true","189","196","196","33802"
"1424738166860","39465","Get Competitors","200","OK","Thread Group 1-80","text","true","189","196","196","39465"
"1424738164415","41909","Get Competitors","200","OK","Thread Group 1-32","text","true","189","196","196","41908"
"1424738172570","33763","Get Competitors","200","OK","Thread Group 1-194","text","true","189","196","196","33754"
"1424738167612","38722","Get Competitors","200","OK","Thread Group 1-95","text","true","189","196","196","38713"
"1424738166009","40330","Get Competitors","200","OK","Thread Group 1-63","text","true","189","196","196","40325"
"1424738168361","37979","Get Competitors","200","OK","Thread Group 1-110","text","true","189","196","196","37978"
"1424738164263","42062","Get Competitors","200","OK","Thread Group 1-12","text","true","189","196","196","42059"
"1424738171821","34502","Get Competitors","200","OK","Thread Group 1-179","text","true","189","196","196","34501"
"1424738169312","37012","Get Competitors","200","OK","Thread Group 1-129","text","true","189","196","196","37009"
"1424738170516","35826","Get Competitors","200","OK","Thread Group 1-153","text","true","189","196","196","35808"
"1424738171870","34468","Get Competitors","200","OK","Thread Group 1-180","text","true","189","196","196","34452"
"1424738170016","36517","Get Competitors","200","OK","Thread Group 1-143","text","true","189","196","196","36516"
"1424738166310","40227","Get Competitors","200","OK","Thread Group 1-69","text","true","189","196","196","40226"
"1424738168911","37638","Get Competitors","200","OK","Thread Group 1-121","text","true","189","196","196","37637"
"1424738164263","42288","Get Competitors","200","OK","Thread Group 1-13","text","true","189","196","196","42288"
"1424738166262","40290","Get Competitors","200","OK","Thread Group 1-68","text","true","189","196","196","40288"
"1424738165191","41360","Get Competitors","200","OK","Thread Group 1-47","text","true","189","196","196","41359"
"1424738168512","38045","Get Competitors","200","OK","Thread Group 1-113","text","true","189","196","196","38044"
